,precision,recall,f1-score,support
0->1,1.0,1.0,1.0,80.0
1->2,1.0,1.0,1.0,35.0
2->3,0.9876543209876543,1.0,0.9937888198757764,80.0
3->4,1.0,0.9375,0.967741935483871,80.0
4->5,1.0,0.9875,0.9937106918238994,80.0
5->6,0.9875,0.9875,0.9875,80.0
6->7,0.9876543209876543,1.0,0.9937888198757764,80.0
7->8,1.0,1.0,1.0,35.0
8->9,0.9523809523809523,1.0,0.975609756097561,80.0
9->0,1.0,1.0,1.0,6.0
accuracy,0.9889937106918238,0.9889937106918238,0.9889937106918238,0.9889937106918238
macro avg,0.991518959435626,0.99125,0.9912140023156883,636.0
weighted avg,0.9893320244473284,0.9889937106918238,0.9889484305857714,636.0
